;purchease_cat;rmw_cat;description
768;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
769;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
770;Boulangerie;VIANDE;BAGUETTE CARREFOUR
771;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
772;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
773;Viande;VIANDE;JAMBON SEC ITALIEN
774;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
775;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
776;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
777;Boissons;BOISSONS;Eau de source
778;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
779;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
780;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
781;Boissons;BOISSONS;Eau de source
782;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
783;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
784;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
785;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
786;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
787;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
788;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
789;Viande;PLAT_PREPARE;BOEUF PRX ROND 6E
790;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
791;Bébé;PETIT_DEJEUNER;PANTS PLUS NIGHT M
792;Boissons;BOISSONS;1 5L LIMONADE CRF
793;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
794;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
795;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
796;Viande;BOISSONS;6T JAMB SUP AC PSA
797;Boissons;VIANDE;75CL GROS PLANT
798;Légumes;FRUITS;AVOCAT PIECE
799;Viande;BOISSONS;COTE PC X2
800;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
801;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
802;Fruits;BOISSONS;PRUNE JAUNE VRAC
803;Viande;BOISSONS;RABLE LAPIN X4
804;Viande;BOISSONS;SAUCISSE SECHE CBE
805;Textile;BOISSONS;BARETTE ULT-CONFOR
806;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
807;Boissons;BOISSONS;Eau de source
808;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
809;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
810;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
811;Boissons;BOISSONS;Eau de source
812;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
813;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
814;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
815;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
816;Produits Laitiers, Lait, Oeufs;VIANDE;6 OEUFS PLEIN AIR
817;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
818;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
819;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
820;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
821;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
822;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
823;Entretien;FRUITS;X4 ET 3P DECO ULTR
824;Hygiène et Beauté;EPICERIE_SUCREE;BEAUTE / SANTE / HYGIENE
825;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
826;Boissons;BOISSONS;Eau de source
827;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
828;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
829;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
830;Boissons;BOISSONS;Eau de source
831;Produits Laitiers, Lait, Oeufs;BOISSONS;TOATL ALIMENTAIRE
832;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
833;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
834;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
835;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
836;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
837;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
838;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
839;Boissons;EPICERIE_SALEE;75CL GROS PLANT
840;Légumes;FRUITS;AVOCAT PIECE
841;Viande;EPICERIE_SUCREE;COTE PC X2
842;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
843;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
844;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
845;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
846;Viande;FRUITS;SAUCISSE SECHE CBE
847;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
848;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
849;Entretien;EPICERIE_SALEE;BOEUF PRX ROND 6E
850;Boulangerie;HYGIENE_BEAUTE;LA CHAMPETRE 950G
851;Épicerie Salée;BOISSONS;PANTS PLUS NIGHT L
852;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
853;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
854;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
855;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
856;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
857;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
858;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
859;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
860;Viande;VIANDE;EPAULE PORC SANS OS
861;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
862;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
863;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
864;Maison;EPICERIE_SUCREE;COUVERTURE POLAIRE 75/150C
865;Loisirs;EPICERIE_SUCREE;IE DORS BIEN COL CLAUDINE
866;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
867;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
868;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
869;Textile;EPICERIE_SALEE;IE DOUDOUNE LIGHT CAPUCHE
870;Textile;HYGIENE_BEAUTE;IE BODY US MC
871;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
872;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
873;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
874;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
875;Textile;HYGIENE_BEAUTE;LOT 5 CHAUSSETTES 2FANT+3U
876;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS X3
877;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
878;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
879;Hygiène et Beauté;BOISSONS;LAQUE FORTE 300ML
880;Hygiène et Beauté;BOISSONS;CREME MAINS ARGAN
881;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;200G LE VIEUX PANE
882;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
883;Boissons;HYGIENE_BEAUTE;6X1L EAU S ANTONIN
884;Viande;EPICERIE_SALEE;AILE DE RAIE
885;Boulangerie;BOISSONS;BAGUETTE CAMPAGNAR
886;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;NATURNES BOL PLASTIQUE PUREE 2 LEG PLT 200g
887;Produits Surgelés;PRODUITS_SURGELES;MAGNUM BLANC/AMAND
888;Viande;VIANDE;MINI BEIGNET POMME
889;Poissonnerie;VIANDE;PAV SAUMON A/P EQC
890;Produits Surgelés;BOISSONS;POELEE LA POTAGERE
891;Fruits;BOISSONS;RAISIN BLC DANLAS
892;Poissonnerie;POISSONNERIE;SAUMON FUME ECOSSE
893;Hygiène et Beauté;BOISSONS;50 BATONNETS CARF
894;Hygiène et Beauté;BOISSONS;SERUM PHYSIOLOGIQ
895;Épicerie Salée;EPICERIE_SALEE;BV SEL FIN IODE
896;Epicerie Sucrée;EPICERIE_SUCREE;2X14TABS FREED WHI
897;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;30 OEUFS FRAIS MOY
898;Épicerie Salée;EPICERIE_SUCREE;250G CANNELLONI
899;Épicerie Salée;EPICERIE_SALEE;150G NOIX DE CAJOU
900;Épicerie Salée;VIANDE;75G CRACKERS MINI
901;Produits Laitiers, Lait, Oeufs;LEGUMES;POT 250G MASCARPO
902;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;EMMENTAL FR RAPE
903;Épicerie Salée;EPICERIE_SALEE;125G PISTACHES GRI
904;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA GALBANI
905;Fruits;HYGIENE_BEAUTE;BANANE OPEN TOP
906;Légumes;EPICERIE_SUCREE;TOMATE CERISE IMP
907;Fruits;EPICERIE_SUCREE;ORANGE FEUILLE
908;Fruits;EPICERIE_SUCREE;KIWI PIECE
909;Entretien;HYGIENE_BEAUTE;250ML SAVON MAGIC
910;Entretien;HYGIENE_BEAUTE;250ML SAVON MAGIC
911;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
912;Boissons;BOISSONS;Eau de source
913;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
914;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
915;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
916;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
917;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
918;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
919;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
920;Boissons;EPICERIE_SALEE;75CL GROS PLANT
921;Légumes;FRUITS;AVOCAT PIECE
922;Viande;EPICERIE_SUCREE;COTE PC X2
923;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
924;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
925;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
926;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
927;Viande;FRUITS;SAUCISSE SECHE CBE
928;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
929;Boissons;BOISSONS;S PELLEGRINO 1L
930;Boissons;BOISSONS;CRF JUS D' ORANGE
931;Produits Laitiers, Lait, Oeufs;BOISSONS;6 x BK SR 1L LT 1/
932;Viande;VIANDE;JAMBON PARIS TSR
933;Épicerie Salée;BOISSONS;TORTILLA PDT NATUR
934;Bébé;BOISSONS;SEMOULE HIPP 8M
935;Épicerie Salée;EPICERIE_SALEE;SCE TOMATE BASILIC
936;Épicerie Salée;BOISSONS;SCE TOMATE BIO
937;Epicerie Sucrée;BOISSONS;Kit Fajitas
938;Épicerie Salée;BOISSONS;657G KIT ENCHILADA
939;Maison;VIANDE;SOUBRESS MINI PIQU
940;Épicerie Salée;BOISSONS;190G SCE TOMATES
941;Épicerie Salée;LEGUMES;SAUCE TOMATE CERIS
942;Épicerie Salée;LEGUMES;2X80G SAUCE TOMAT
943;Épicerie Salée;BOISSONS;SCE TOMATE MASCARP
944;Viande;BOISSONS;FLT POULET BLANC
945;Epicerie Sucrée;EPICERIE_SALEE;DOUX FRUITE 250G
946;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;250G COMT CARREFO
947;Produits Laitiers, Lait, Oeufs;BOISSONS;4X125G YRT CREM AN
948;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;GAP EXTRA MOZZA TO
949;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;4X115G GERVAIS CIT
950;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;2X100G TIRAMISU CI
951;Boissons;BOISSONS;Pur Jus de Raisin Muscadet
952;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;PERLE DE LAIT VAN
953;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;4X125G PERLE DE LA
954;Légumes;BOISSONS;POIVRON BICOLORE B
955;Épicerie Salée;BOISSONS;61G NOUILLE EXPR P
956;Épicerie Salée;BOISSONS;500G MAFALDINE
957;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA CRF
958;Épicerie Salée;EPICERIE_SALEE;2X130G CHIPS SEL&V
959;Produits Laitiers, Lait, Oeufs;BOISSONS;CRU DES ALPES 1/8M
960;Épicerie Salée;BOISSONS;500G TORTIGLIONI
961;Viande;BOISSONS;120G FINE TR MORTA
962;Fruits;FRUITS;POM FUJI MDD
963;Fruits;BOISSONS;CLEMENTINE MOYENNE
964;Légumes;BOISSONS;BIO NAVET BQ 500G
965;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;RIZ AU LAIT VANILL
966;Épicerie Salée;BOISSONS;90G CUPS TERIYAKI
967;Épicerie Salée;EPICERIE_SALEE;TOFIE BARILLA
968;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;SPEC LAIT CREM CRF
969;Légumes;EPICERIE_SUCREE;350G SUCRINE COEUR
970;Produits Laitiers, Lait, Oeufs;BOISSONS;3X20CL CREME UHT
971;Viande;VIANDE;SAUCISSON SEC
972;Boissons;BOISSONS;1 5L LIMONADE CRF
973;Epicerie Sucrée;BOISSONS;200G SCE OSEILLE
974;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;4 BIG CHOC VAN/CHO
975;Épicerie Salée;BOISSONS;4/4 POELEE / PRINT
976;Epicerie Sucrée;BOISSONS;400G POLPA FINE
977;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
978;Boulangerie;BOISSONS;BAGUETTE 250G
979;Poissonnerie;VIANDE;PAV SAUMON A/P EQC
980;Épicerie Salée;BOISSONS;CAROL PISTO BICARB
981;Maison;BOISSONS;LOT VAISSELLE
982;Produits Laitiers, Lait, Oeufs;BOISSONS;NAGEURS A CLES
983;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
984;Boissons;BOISSONS;Eau de source
985;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
986;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
987;Épicerie Salée;BOISSONS;1/2 OLIVE FARCIES
988;Épicerie Salée;LEGUMES;4/4 HARICOT VERT
989;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
990;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
991;Boulangerie;VIANDE;BAGUETTE CARREFOUR
992;Epicerie Sucrée;BOISSONS;MOULES MARINES CRF
993;Viande;BOISSONS;ROTI*** VB CRF
994;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
995;Boissons;BOISSONS;Eau de source
996;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
997;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
998;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
999;Boissons;BOISSONS;Eau de source
1000;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1001;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1002;Boissons;BOISSONS;1 5L LIMONADE CRF
1003;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
1004;Produits Laitiers, Lait, Oeufs;BOISSONS;200G STE MAURE
1005;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1006;Viande;BOISSONS;6T JAMB SUP AC PSA
1007;Boissons;VIANDE;75CL GROS PLANT
1008;Fruits;FRUITS;AVOCAT PIECE
1009;Epicerie Sucrée;BOISSONS;COTE PC X2
1010;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1011;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1012;Fruits;BOISSONS;PRUNE JAUNE VRAC
1013;Viande;BOISSONS;RABLE LAPIN X4
1014;Viande;BOISSONS;SAUCISSE SECHE CBE
1015;Entretien;BOISSONS;BARETTE ULT-CONFOR
1016;Épicerie Salée;EPICERIE_SALEE;330G BOEUF BOURGUI
1017;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1018;Produits Surgelés;BOISSONS;ASSORT CHAMP CRF
1019;Boulangerie;VIANDE;BAGUETTE CARREFOUR
1020;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURRE ISIGNY
1021;Viande;BOISSONS;ESCALOPE DINDE E F
1022;Viande;VIANDE;JAMBON SEC ITALIEN
1023;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA TRANCHE
1024;Épicerie Salée;BOISSONS;TAGLIATELLE CRF
1025;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1026;Boissons;BOISSONS;Eau de source
1027;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1028;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1029;Poissonnerie;BOISSONS;1/4 THON NATREL PN
1030;Poissonnerie;BOISSONS;125G FEUILLE CHENE
1031;Epicerie Sucrée;LEGUMES;150G MARINES AIL/C
1032;Viande;PLAT_PREPARE;180G PLATEAU ITALI
1033;Épicerie Salée;BOISSONS;200G CAROTTE RAPEE
1034;Produits Laitiers, Lait, Oeufs;BOISSONS;200G CELERI REMOUL
1035;Épicerie Salée;BOISSONS;280G TOMATES SECHE
1036;Produits Laitiers, Lait, Oeufs;LEGUMES;300G SCSON AIL FUM
1037;Epicerie Sucrée;BOISSONS;300GR CHOUX ROUGES
1038;Viande;BOISSONS;4TR JAMBON SUP AC
1039;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;6 GEL PLEIN AIR
1040;Légumes;BOISSONS;ABV BL
1041;Boulangerie;EPICERIE_SUCREE;BAGUETTE FOUR
1042;Légumes;BOISSONS;BLANQU**VE FQC
1043;Produits Laitiers, Lait, Oeufs;BOISSONS;MOZZARELLA GALBANI
1044;Hygiène et Beauté;LEGUMES;Petits pois carottes à l'étuvée, extra-fins
1045;Epicerie Sucrée;BOULANGERIE;PAIN MIE CARREFOUR
1046;Produits Laitiers, Lait, Oeufs;BOISSONS;QUEUE LOTTE
1047;Viande;BOISSONS;RECHARGE 600 CANDE
1048;Épicerie Salée;BOULANGERIE;AUCHAN LENTILLES G OIE 530
1049;Viande;BOISSONS;HERTA ALLUMETTES FUMEES 2X
1050;Viande;VIANDE;EPAULE PORC SANS OS
1051;Légumes;VIANDE;PDT CONSO GROS CALIBRE VRA
1052;Entretien;BOISSONS;BAVOIR TABLIER 2EME AGE
1053;Hygiène et Beauté;BOISSONS;POREE BABYCALIN LOTX3 BAVO
1054;Épicerie Salée;BOISSONS;COUVERTURE POLAIRE 75/150C
1055;Hygiène et Beauté;BOISSONS;IE DORS BIEN COL CLAUDINE
1056;Épicerie Salée;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
1057;Hygiène et Beauté;BOISSONS;8 IE DORS BIEN LAPIN/CHATON
1058;Épicerie Salée;BOISSONS;B IE DBIEN OURS /SOURIS /ELEPH
1059;Petit-Déjeuner;BOISSONS;8 IE DOUDOUNE LIGHT CAPUCHE
1060;Hygiène et Beauté;HYGIENE_BEAUTE;8 IE X3 BODY US MC
1061;Hygiène et Beauté;BOISSONS;IE X7 BODIES US ML
1062;Hygiène et Beauté;BOISSONS;8 IE X7 BODIES US ML
1063;Hygiène et Beauté;BOISSONS;8 IE LOT 7 BODIES US ML
1064;Viande;BOISSONS;8 LOT 5 CHAUSSETTES 2FANT+3U
1065;Viande;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
1066;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS X3
1067;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1068;Boissons;BOISSONS;Eau de source
1069;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1070;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1071;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1072;Boissons;BOISSONS;Eau de source
1073;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1074;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1075;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1076;Boissons;BOISSONS;Eau de source
1077;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1078;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1079;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1080;Boissons;BOISSONS;Eau de source
1081;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1082;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1083;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1084;Boissons;BOISSONS;Eau de source
1085;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1086;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1087;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1088;Boissons;BOISSONS;Eau de source
1089;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1090;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1091;Epicerie Sucrée;BOISSONS;200G TOMME NOIRE
1092;Légumes;BOISSONS;FILET CARRELET
1093;Boissons;BOISSONS;MASCARPONE GORGONZ
1094;Boulangerie;BOULANGERIE;PAIN 400GR
1095;Epicerie Sucrée;BOISSONS;SCE BEURRE CITRON
1096;Hygiène et Beauté;BOISSONS;500ML BDB EXPERT P
1097;Boissons;BOISSONS;1 5L LIMONADE CRF
1098;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
1099;Produits Laitiers, Lait, Oeufs;BOISSONS;200G STE MAURE
1100;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1101;Viande;BOISSONS;6T JAMB SUP AC PSA
1102;Boissons;VIANDE;75CL GROS PLANT
1103;Légumes;FRUITS;AVOCAT PIECE
1104;Viande;BOISSONS;COTE PC X2
1105;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1106;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1107;Fruits;BOISSONS;PRUNE JAUNE VRAC
1108;Viande;BOISSONS;RABLE LAPIN X4
1109;Viande;BOISSONS;SAUCISSE SECHE CBE
1110;Textile;BOISSONS;BARETTE ULT-CONFOR
1111;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
1112;Boissons;BOISSONS;Eau de source
1113;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
1114;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
1115;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
1116;Viande;BOISSONS;ISAUCISSES COCKTAIL NATURE 450G
1117;Viande;BOISSONS;LOT 2 GDS LARDONS FUMES + 1 GT
1118;Viande;BOISSONS;PATE EN CROUTE 450G S/AZAY
1119;Épicerie Salée;BOISSONS;TAGLIATELLES 600G
1120;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN OR 250G
1121;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS FRAIS MOYEN X12
1122;Produits Laitiers, Lait, Oeufs;BOISSONS;CREME FRAICHE 30 CL
1123;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
1124;Fruits;BOISSONS;POMME ROUGE
1125;Boulangerie;BOISSONS;BAGUETTE 250G
1126;Épicerie Salée;EPICERIE_SALEE;FEUILLETES SURG BLINI 475G
1127;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
1128;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
1129;Produits Laitiers, Lait, Oeufs;BOISSONS;BRIQUETTE CH'TI
1130;Produits Surgelés;BOISSONS;PAELLA TRADITIONNELLE
1131;Plats préparés;BOISSONS;SALADE PDT HARENG 2 5KG
1132;Viande;BOISSONS;SAUCISSON CHEVAL
1133;Plats préparés;VIANDE;OEUF POCHE AU JAMBON 90G
1134;Épicerie Salée;VIANDE;FONDUE POIREAUX JAMBON
1135;Plats préparés;BOISSONS;SALADE DE PERLES OCEANES
1136;Épicerie Salée;BOISSONS;X *HARICOTS VERTS EXF N/J 4/4
1137;Entretien;BOISSONS;48 DOSETTES CLASSIQUE 336G
1138;Boissons;BOISSONS;RHUM ARRANG CHATEL LETCHI
1139;Boissons;BOISSONS;X PASTIS SIGALE 45D 1L ECO+
1140;Boissons;BOISSONS;X BIANCO GILDO ECO+ 1L
1141;Boissons;BOISSONS;X *JEAN'S COLA PET 150CL
1142;Boissons;BOISSONS;X *P/JUS D'ORANGE BRICK 1L
1143;Hygiène et Beauté;BOISSONS;DCH PETALE ORIENT MANAX 100ML
1144;Maison;BOISSONS;MULTIP ALLCIG 2 SORT 12V/24V
1145;Viande;BOISSONS;R Pack Fnac Smartphone
1146;Légumes;BOISSONS;D3E
1147;Boissons;BOISSONS;1 5L LIMONADE CRF
1148;Épicerie Salée;BOISSONS;1/2 MELANGE 4CHAMP
1149;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
1150;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
1151;Viande;BOISSONS;6T JAMB SUP AC PSA
1152;Boissons;VIANDE;75CL GROS PLANT
1153;Légumes;FRUITS;AVOCAT PIECE
1154;Viande;BOISSONS;COTE PC X2
1155;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
1156;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
1157;Fruits;BOISSONS;PRUNE JAUNE VRAC
1158;Viande;BOISSONS;RABLE LAPIN X4
1159;Viande;BOISSONS;SAUCISSE SECHE CBE
1160;Textile;BOISSONS;BARETTE ULT-CONFOR
1161;Epicerie Sucrée;HYGIENE_BEAUTE;1L SPE CAMPAGN LEN
